,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
0,CNN,0.0,1.0,0.0,0.0,2018-08-29 04:46:00+00:00,0
1,CNN,0.135,0.865,0.0,0.4215,2018-08-29 04:31:01+00:00,-1
2,CNN,0.227,0.619,0.155,0.1027,2018-08-29 04:18:20+00:00,-2
3,CNN,0.0,1.0,0.0,0.0,2018-08-29 04:16:00+00:00,-3
4,CNN,0.259,0.741,0.0,0.6486,2018-08-29 04:02:08+00:00,-4
5,CNN,0.145,0.855,0.0,0.5251,2018-08-29 03:57:01+00:00,-5
6,CNN,0.209,0.791,0.0,0.5719,2018-08-29 03:56:12+00:00,-6
7,CNN,0.149,0.685,0.165,0.1531,2018-08-29 03:55:09+00:00,-7
8,CNN,0.168,0.727,0.105,0.34,2018-08-29 03:46:48+00:00,-8
9,CNN,0.0,0.901,0.099,-0.3182,2018-08-29 03:46:04+00:00,-9
10,CNN,0.07,0.93,0.0,0.128,2018-08-29 03:42:19+00:00,-10
11,CNN,0.0,1.0,0.0,0.0,2018-08-29 03:31:05+00:00,-11
12,CNN,0.139,0.861,0.0,0.2732,2018-08-29 03:16:06+00:00,-12
13,CNN,0.0,0.723,0.277,-0.7845,2018-08-29 03:01:05+00:00,-13
14,CNN,0.0,0.833,0.167,-0.6369,2018-08-29 02:46:08+00:00,-14
15,CNN,0.0,0.873,0.127,-0.4404,2018-08-29 02:31:05+00:00,-15
16,CNN,0.0,1.0,0.0,0.0,2018-08-29 02:16:02+00:00,-16
17,CNN,0.181,0.819,0.0,0.6369,2018-08-29 02:16:00+00:00,-17
18,CNN,0.076,0.763,0.161,-0.2732,2018-08-29 02:03:35+00:00,-18
19,CNN,0.273,0.727,0.0,0.8176,2018-08-29 01:53:37+00:00,-19
20,CNN,0.0,0.582,0.418,-0.9217,2018-08-29 01:49:47+00:00,-20
21,CNN,0.093,0.667,0.241,-0.6124,2018-08-29 01:43:39+00:00,-21
22,CNN,0.0,1.0,0.0,0.0,2018-08-29 01:43:21+00:00,-22
23,CNN,0.226,0.774,0.0,0.5859,2018-08-29 01:42:31+00:00,-23
24,CNN,0.0,1.0,0.0,0.0,2018-08-29 01:41:04+00:00,-24
25,CNN,0.082,0.843,0.075,0.0387,2018-08-29 01:31:27+00:00,-25
26,CNN,0.0,0.896,0.104,-0.296,2018-08-29 01:31:06+00:00,-26
27,CNN,0.0,1.0,0.0,0.0,2018-08-29 01:19:51+00:00,-27
28,CNN,0.0,1.0,0.0,0.0,2018-08-29 01:19:05+00:00,-28
29,CNN,0.126,0.807,0.067,0.3182,2018-08-29 01:10:05+00:00,-29
30,CNN,0.163,0.837,0.0,0.5994,2018-08-29 00:52:54+00:00,-30
31,CNN,0.078,0.706,0.216,-0.6499,2018-08-29 00:49:06+00:00,-31
32,CNN,0.28,0.72,0.0,0.7906,2018-08-29 00:37:48+00:00,-32
33,CNN,0.119,0.881,0.0,0.4019,2018-08-29 00:35:51+00:00,-33
34,CNN,0.208,0.792,0.0,0.2732,2018-08-29 00:31:08+00:00,-34
35,CNN,0.069,0.833,0.097,-0.1531,2018-08-29 00:21:03+00:00,-35
36,CNN,0.096,0.674,0.23,-0.5859,2018-08-29 00:20:52+00:00,-36
37,CNN,0.322,0.678,0.0,0.8225,2018-08-29 00:14:50+00:00,-37
38,CNN,0.133,0.667,0.2,-0.128,2018-08-29 00:11:04+00:00,-38
39,CNN,0.084,0.916,0.0,0.3182,2018-08-29 00:04:35+00:00,-39
40,CNN,0.0,1.0,0.0,0.0,2018-08-29 00:01:05+00:00,-40
41,CNN,0.0,0.853,0.147,-0.4767,2018-08-28 23:51:03+00:00,-41
42,CNN,0.0,0.782,0.218,-0.7506,2018-08-28 23:47:38+00:00,-42
43,CNN,0.0,0.841,0.159,-0.5563,2018-08-28 23:41:01+00:00,-43
44,CNN,0.149,0.702,0.149,0.0,2018-08-28 23:31:05+00:00,-44
45,CNN,0.0,1.0,0.0,0.0,2018-08-28 23:27:07+00:00,-45
46,CNN,0.0,0.759,0.241,-0.5423,2018-08-28 23:21:13+00:00,-46
47,CNN,0.135,0.865,0.0,0.4215,2018-08-28 23:21:05+00:00,-47
